date,week,day,snf,playoffs,rest,o:rest,division,o:division,conference,o:conference,team,P1,P2,P3,P4,o:team,o:P1,o:P2,o:P3,o:P4,line,total,1h diff,2h diff,1h total,2h total,div,con,d_rest
20151011,5,Sunday,0,0,5,6,NFC North,NFC West,NFC,NFC,Lions,7,0,0,10,Cardinals,0,28,7,7,4,46,21,4,35,24,0,1,-1
20151011,5,Sunday,0,0,6,6,NFC North,NFC West,NFC,NFC,Packers,14,0,7,3,Rams,0,10,0,0,-9,45.5,-4,-10,24,10,0,1,0
20151011,5,Sunday,0,0,6,6,AFC West,AFC West,AFC,AFC,Raiders,0,7,0,3,Broncos,0,3,6,7,4.5,44.5,-4,10,10,16,1,1,0
20151011,5,Sunday,0,0,9,6,AFC North,AFC North,AFC,AFC,Ravens,14,0,7,9,Browns,3,6,7,14,-6,42.5,-5,5,23,37,1,1,3
20151011,5,Sunday,0,0,13,6,AFC South,AFC East,AFC,AFC,Titans,0,3,7,3,Bills,0,0,7,7,1.5,42.5,-3,4,3,24,0,1,7
20151012,5,Monday,0,0,7,10,AFC West,AFC North,AFC,AFC,Chargers,7,0,0,13,Steelers,0,3,7,14,-3.5,45.5,-4,8,10,34,0,1,-3
20151015,6,Thursday,0,0,3,3,NFC South,NFC South,NFC,NFC,Saints,14,0,10,7,Falcons,0,7,0,14,3,52,-7,-3,21,31,1,1,0
20151018,6,Sunday,0,0,6,6,AFC East,AFC North,AFC,AFC,Bills,7,7,0,7,Bengals,7,10,14,3,3,43,3,10,31,24,0,1,0
20151018,6,Sunday,0,0,6,6,AFC North,AFC West,AFC,AFC,Browns,0,0,7,16,Broncos,3,7,3,10,4,43,10,-10,10,36,0,1,0
20151018,6,Sunday,1,0,9,6,AFC South,AFC East,AFC,AFC,Colts,7,14,0,6,Patriots,7,13,7,7,9,54,-1,8,41,20,0,1,3
20151018,6,Sunday,0,0,6,6,NFC West,AFC North,NFC,AFC,Fortyniners,6,10,3,6,Ravens,0,6,7,7,2.5,43.5,-10,5,22,23,0,0,0
20151018,6,Sunday,0,0,6,9,AFC South,AFC South,AFC,AFC,Jaguars,0,7,7,6,Texans,7,3,0,21,-2,43.5,3,8,17,34,1,1,-3
20151018,6,Sunday,0,0,13,6,AFC East,NFC East,AFC,NFC,Jets,7,3,17,7,Redskins,7,6,0,7,-7,40.5,3,-17,23,31,0,0,7
20151018,6,Sunday,0,0,6,6,NFC North,NFC North,NFC,NFC,Lions,7,14,3,10,Bears,3,10,3,18,-3.5,45,-8,8,34,34,1,1,0
20151018,6,Sunday,0,0,6,5,NFC North,AFC West,NFC,AFC,Packers,14,3,7,3,Chargers,3,7,7,3,-10,50.5,-7,0,27,20,0,0,1
20151018,6,Sunday,0,0,6,13,NFC West,NFC South,NFC,NFC,Seahawks,3,7,10,3,Panthers,0,7,7,13,-7,40.5,-3,7,17,33,0,1,-7
20151018,6,Sunday,0,0,5,6,AFC North,NFC West,AFC,NFC,Steelers,0,3,12,10,Cardinals,7,3,0,3,5,45,7,-19,13,25,0,0,-1
20151018,6,Sunday,0,0,6,13,AFC South,AFC East,AFC,AFC,Titans,3,0,7,0,Dolphins,10,7,7,14,-2,43.5,14,14,20,28,0,1,-7
20151018,6,Sunday,0,0,13,6,NFC North,AFC West,NFC,AFC,Vikings,3,7,3,3,Chiefs,0,0,0,10,-3.5,43,-10,4,10,16,0,0,7
